Id_Client;Date_appel;Heure_appel;No_appelant;No_appele;Id_Direction;Id_Produit;Id_Distance;Duree
234555;17/01/2003;08:36;612345678;645798524;2;1;2;3641
234555;18/01/2003;12:30;612345678;648845995;2;1;1;256
234555;02/01/2003;04:31;648845995;612345678;1;2;1;1
234555;06/01/2003;22:41;648845995;612345678;1;1;1;41
234555;12/01/2003;10:53;3521479685;612345678;1;1;5;365
234555;03/01/2003;18:59;214579468;612345678;1;1;4;85
234555;06/01/2003;06:28;697154863;612345678;1;2;2;1
234555;13/01/2003;23:57;214579468;612345678;1;1;3;264
234555;16/01/2003;12:52;124879644;612345678;1;1;3;98
234555;24/01/2003;18:27;124879645;612345678;1;1;3;325
234555;26/01/2003;19:41;612345678;697154863;2;1;2;479
234555;17/01/2003;05:04;612345678;648845995;2;2;1;1
234555;22/01/2003;00:43;612345678;214579468;2;3;4;1
234555;15/01/2003;13:54;612345678;648845995;2;1;1;156
234555;20/01/2003;12:17;612345678;648845995;2;1;1;324
234555;18/01/2003;17:45;612345678;697154863;2;1;2;856
234555;29/01/2003;13:30;612345678;22184679;2;3;5;1
234555;12/01/2003;22:29;612345678;645798524;2;1;2;548
234555;15/01/2003;14:08;22184679;612345678;1;1;5;215
234555;18/01/2003;07:23;475849876;612345678;1;1;3;156
234555;24/01/2003;12:02;645798524;612345678;1;1;2;984
648952;26/01/2003;16:18;614796854;648845995;1;1;2;561
648952;18/01/2003;17:49;611223344;648845995;1;2;1;1
648952;05/01/2003;02:02;611223344;648845995;1;1;1;485
648952;04/01/2003;21:22;666778899;648845995;1;1;1;1569
648952;17/01/2003;08:36;666778899;648845995;1;1;1;59
648952;24/01/2003;12:30;648845995;611223344;2;2;1;1
648952;17/01/2003;04:31;648845995;214879568;2;3;4;1
648952;29/01/2003;19:08;648845995;611223344;2;1;1;264
648952;03/01/2003;03:00;648845995;666778899;2;1;1;849
648952;18/01/2003;13:54;648845995;377486795;2;1;5;658
648952;01/01/2003;10:17;648845995;214879568;2;3;4;1
648952;02/01/2003;09:24;648845995;614793548;2;1;2;659
648952;16/01/2003;20:36;648845995;614796854;2;1;2;159
648952;21/01/2003;18:22;648845995;214879568;2;1;3;789
648952;16/01/2003;18:59;648845995;614796854;2;2;2;1
648952;03/01/2003;04:48;614796854;648845995;1;1;2;952
648952;06/01/2003;23:09;611223344;648845995;1;1;1;845
648952;13/01/2003;12:02;611223344;648845995;1;1;1;849
648952;16/01/2003;12:17;666778899;648845995;1;2;1;1
648952;24/01/2003;17:45;666778899;648845995;1;1;1;395
648952;26/01/2003;13:45;214879567;648845995;1;1;3;489
648952;17/01/2003;16:04;214879568;648845995;1;1;4;691
648952;22/01/2003;17:40;377486795;648845995;1;1;5;894
648952;15/01/2003;01:48;377486795;648845995;1;1;5;958
648952;20/01/2003;20:26;614793548;648845995;1;2;2;1
888444;18/01/2003;12:11;611223344;627273838;1;2;1;1
888444;29/01/2003;11:54;611223344;627273838;1;2;1;1
888444;22/01/2003;16:11;611223344;627273838;1;2;1;1
888444;15/01/2003;11:04;614796854;627273838;1;2;2;1
888444;20/01/2003;01:12;614796854;627273838;1;1;2;984
888444;18/01/2003;11:06;666778899;627273838;1;1;1;951
888444;29/01/2003;06:19;627273838;614796854;2;1;2;895
888444;12/01/2003;23:43;627273838;611223344;2;2;1;1
888444;17/01/2003;12:52;627273838;124578965;2;3;4;1
888444;25/01/2003;18:27;627273838;614796854;2;1;2;958
888444;30/01/2003;16:08;627273838;611223344;2;1;1;945
888444;31/01/2003;01:11;627273838;666778899;2;1;1;846
888444;31/01/2023;02:13;627273838;666778899;2;1;7;846
694;03/01/2003;20:50;664859715;124587965;2;1;3;985
694;08/01/2003;08:11;664859715;124587965;2;1;3;489
694;09/01/2003;17:38;664859715;612345678;2;2;1;1
694;11/01/2003;05:22;664859715;612345678;2;2;1;1
694;15/01/2003;16:35;664859715;124587965;2;3;4;1
694;18/01/2003;10:56;664859715;612345678;2;1;1;2978
694;24/01/2003;18:40;664859715;634891758;2;1;2;645
694;26/01/2003;04:41;425789658;664859715;1;1;4;159
694;18/01/2003;00:26;30458796;664859715;1;1;5;19
694;30/01/2003;12:18;124587965;664859715;1;1;3;897
694;24/01/2003;17:52;124587965;664859715;1;1;3;265
694;03/01/2003;20:28;612345678;664859715;1;2;1;1
694;04/01/2003;02:13;634891758;664859715;1;1;2;489
694;05/01/2003;22:14;634891758;664859715;1;1;2;489
9478;24/01/2003;08:11;645791358;677887794;1;1;2;1259
9478;26/01/2003;10:42;612345678;677887794;1;1;1;195
9478;17/01/2003;01:43;612345678;677887794;1;1;1;796
9478;22/01/2003;18:43;655446655;677887794;1;2;1;1
9478;15/01/2003;01:12;655446655;677887794;1;2;1;1
9478;20/01/2003;11:06;677887794;645791358;2;1;2;978
9478;18/01/2003;06:19;677887794;612345678;2;1;1;159
9478;29/01/2003;23:43;677887794;655446655;2;1;1;297
9478;22/01/2003;12:43;677887794;645791358;2;2;2;1
9478;15/01/2003;18:13;677887794;8230464789;2;3;5;1
